Node,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
United States,0.353448690541109,0.352170202255212,0.351405862039509,0.350442065549587,0.348166174068986,0.345858478643523,0.346982926625774,0.346885972180004,0.346912378608259,0.345279626363516,0.344811086652076,0.345047835977245,0.343666204592824,0.344401011912754,0.347863193571666,0.345505724945943,0.344690736399004,0.34274496079816,0.342650142728417,0.343372239667379,0.343414592050164,0.342641945218023,0.34235699713117,0.341120844291368,0.339402007089715,0.341459572438597,0.342451674242404,0.34032718066527,0.340343358864512
China,0.477938373167063,0.466709446266535,0.455982964337237,0.446993661435661,0.442168977970654,0.440424931838836,0.439682078254392,0.43734090224815,0.435499078935581,0.432691153312878,0.428023122174046,0.423163080487784,0.420695643177083,0.420011536991409,0.417737736218535,0.411837212873525,0.408253223520607,0.406735671575342,0.403748495784368,0.402295168478725,0.402410756536387,0.400931883264138,0.398975183238136,0.397212796778162,0.398597566674921,0.400593449299896,0.399230197017694,0.398924139778291,0.398386047164121
India,0.617328566200101,0.617552783185214,0.618377958171256,0.623152169782001,0.61690117861986,0.611806381856273,0.615308824292302,0.616932210313422,0.617679788245983,0.616254465566514,0.615188857786881,0.615097206440847,0.6116286649358,0.605131586632464,0.603754344527143,0.597520582826373,0.592113519680716,0.588075948192566,0.583106391585514,0.579756874936018,0.621227751151324,0.609343555629545,0.593951327935646,0.592505044187372,0.596168542490537,0.603555253495071,0.601550859542652,0.599708355514177,0.598856049446663
Brazil,0.425057631470568,0.423917142836212,0.417611297521719,0.417418201391124,0.410939049584885,0.405700965654609,0.402237249185815,0.403916008617787,0.403698576725661,0.396768075819468,0.39368081055787,0.392983035454034,0.392348599718208,0.392182539504461,0.393990572791861,0.392691793894286,0.392843434302918,0.393089555612464,0.393866226580766,0.394268875241514,0.394498091637263,0.400880194703877,0.398348732478144,0.395461790486649,0.395937610667649,0.397121448434567,0.394351875619921,0.392509928096113,0.393318390283628
Russia,0.345151248470123,0.336895766609815,0.342923091223176,0.357733863306402,0.347958590871961,0.354328332265331,0.350109502833324,0.352484880866401,0.337777218368236,0.327367177371799,0.331533022963925,0.32671730280135,0.322032359587668,0.320619431874979,0.331303110570519,0.326285205655859,0.321334512322645,0.321269322753643,0.323590533904551,0.323989270938645,0.324928624610841,0.319293233153646,0.316894269986493,0.318831034074555,0.318086530185006,0.31880005500306,0.315206990279377,0.314862121814366,0.314493902880368
Ukraine,0.404303611735752,0.408239732815466,0.400465615600848,0.406639960125923,0.409604447886133,0.407945543254946,0.409006478404641,0.408314718655094,0.417572023175241,0.409276571383132,0.409371514743778,0.40682028867597,0.404461460782556,0.402288202875444,0.414604395157998,0.405007179612059,0.396161172878948,0.396639728801425,0.402147585633492,0.405149641563852,0.403192793789364,0.407611586374619,0.407064649346339,0.410245501157255,0.411859977404858,0.418579787169339,0.414497115201341,0.415639559267354,0.4156880564083
Argentina,0.394644805136415,0.392891048655591,0.391755494272837,0.388520396398977,0.386283807709156,0.384350850113327,0.384080051703749,0.3789699498745,0.375579073078411,0.370119679125244,0.366650076141127,0.365662341280869,0.367549715957863,0.369516105561074,0.367155946807402,0.362961823047851,0.362104422788151,0.362122195404303,0.361329909878555,0.361476176535153,0.361844833106355,0.36426873012051,0.365537246716753,0.372547241694628,0.371313884867806,0.377227181830612,0.373699856382807,0.36911501475273,0.381714850702403
Australia,0.378428555351298,0.377557661194177,0.37794707234078,0.376894719796051,0.379193152492901,0.379213755474257,0.381101943241741,0.382340904638538,0.380806511941394,0.379627379926429,0.380080624830457,0.378585052558831,0.379680967519341,0.375988315803127,0.380742455406216,0.377958422045187,0.378356426513025,0.377636640648873,0.379841487370799,0.380198578420029,0.380404946731842,0.378139786003752,0.377567856301634,0.377641923435432,0.378933780800409,0.379963823409731,0.376943753887195,0.375924350481505,0.37562070648912
Canada,0.246995543327847,0.246205700186253,0.244213315120543,0.243066238482971,0.241123758633983,0.240722544870152,0.24229143322452,0.243554666333195,0.243480190143712,0.242137291913721,0.241438892260373,0.241479814552394,0.240518727599242,0.23918237049586,0.242538180841455,0.238874356197327,0.238020756538047,0.237980268415382,0.238489720556802,0.239116380546179,0.240295399733871,0.240994565615507,0.240187326165309,0.239354923713296,0.239930836383757,0.242939589172403,0.240976297793768,0.240011457893505,0.239960641840036
France,0.303631336003153,0.296997475070257,0.291178127292809,0.290764555045387,0.286518724178393,0.289140550482727,0.288118822873036,0.295550484078514,0.29843109110472,0.295886828906668,0.293309665068194,0.294452851739958,0.292411383178047,0.29212812696007,0.300157062508927,0.298219683422359,0.296506812112524,0.295517887257849,0.295631951884202,0.29326131661119,0.296845440854282,0.295071016136796,0.294205456285433,0.286445065650327,0.297245617538329,0.296961750234782,0.292565116925452,0.290552152082362,0.292651683846477
