step,U_undernourished,GFS,TC_trade_collapse,EB_export_ban_rate,PAR_millions,famine_deaths_step,price_index,price_ratio,SAV_scale,SAV_homogeneity,SAV_connectivity,SAV_power,mean_FS_index,mean_ES_index,n_overload_food,n_overload_energy,total_supply_kcal_yr,total_demand_kcal_yr,trade_volume_kcal
1,0.4571,1.5262,0.0,0.4571,2724.07,14821846.0,1.1968,1.1968,1.0,0.1582,1.0,0.0853,0.175,0.0067,12,0,1.2348278176560794e+16,8817840273549746.0,2385044216161700.0
3,0.3714,1.6552,0.3553,0.3714,1784.66,10619698.0,0.5673,0.5673,0.9895,0.2024,1.0,0.086,0.1668,0.0134,12,0,1.3697725224252996e+16,8817840273549746.0,1537740486916266.5
5,0.3714,1.6951,0.6383,0.3714,1793.14,9784811.0,0.3035,0.3035,0.9758,0.1141,1.0,0.0861,0.1352,0.0201,10,0,1.3941424250832022e+16,8817840273549746.0,862554885026922.6
7,0.3429,1.7284,0.7153,0.3429,1568.69,9548130.0,0.2,0.2,0.9614,0.1629,1.0,0.0862,0.1343,0.0269,10,0,1.4162325087348934e+16,8817840273549746.0,679120637993405.0
9,0.3429,1.8145,0.683,0.3429,1576.52,8710032.0,0.2,0.2,0.9471,0.2714,1.0,0.0862,0.1254,0.0336,7,0,1.4879367818730284e+16,8817840273549746.0,756018848151273.0
11,0.3429,1.8346,0.709,0.3429,1584.73,8484219.0,0.2,0.2,0.9329,0.2647,1.0,0.0862,0.1236,0.0403,6,0,1.507650591934568e+16,8817840273549746.0,694024511585963.5
13,0.3429,1.8528,0.7079,0.3429,1593.31,8293033.0,0.2,0.2,0.9189,0.234,1.0,0.0862,0.123,0.047,5,0,1.5258818034256802e+16,8817840273549746.0,696609137906536.2
15,0.3429,1.8727,0.7852,0.3429,1602.34,8017532.0,0.2,0.2,0.9053,0.1726,1.0,0.0862,0.1212,0.0537,5,0,1.5428199214109368e+16,8817840273549746.0,512189060130819.5
17,0.3429,1.8931,0.5984,0.3429,1611.64,7922947.0,0.2,0.2,0.8917,0.2673,1.0,0.0862,0.1209,0.0605,5,0,1.5585965459297332e+16,8817840273549746.0,957763329738790.8
19,0.3143,1.9096,0.7187,0.3143,1599.75,7641695.0,0.2,0.2,0.8785,0.207,1.0,0.0863,0.1189,0.0674,5,0,1.573323377144562e+16,8817840273549746.0,671002249983977.5
21,0.3143,1.9419,0.7682,0.3143,1609.57,7485754.0,0.2,0.2,0.8654,0.2356,1.0,0.0863,0.1194,0.0743,6,0,1.5871333389492694e+16,8817840273549746.0,552799495559162.56
23,0.3143,1.9881,0.6509,0.3143,1619.71,7355374.0,0.2,0.2,0.8525,0.1811,1.0,0.0863,0.1192,0.0812,6,0,1.600114092538429e+16,8817840273549746.0,832718329483240.6
25,0.3143,2.0445,0.775,0.3143,1630.19,7213501.0,0.2,0.2,0.8398,0.1717,1.0,0.0863,0.1185,0.0881,5,0,1.6123366770181772e+16,8817840273549746.0,536743150995313.1
27,0.3143,2.0709,0.8107,0.3143,1640.98,7101757.0,0.2,0.2,0.8272,0.142,1.0,0.0863,0.1188,0.0949,5,0,1.6238530244815308e+16,8817840273549746.0,451533733248137.25
29,0.3143,2.0883,0.6955,0.3143,1651.96,7112930.0,0.2,0.2,0.8148,0.2233,1.0,0.0863,0.1194,0.1019,5,0,1.6346240938607374e+16,8817840273549746.0,726213835209076.8
31,0.3143,2.0989,0.6915,0.3143,1663.25,7004798.0,0.2,0.2,0.8026,0.1811,1.0,0.0863,0.1195,0.1089,5,0,1.6447779970860766e+16,8817840273549746.0,735767851513671.1
33,0.3143,2.1075,0.7492,0.3143,1674.97,6789261.0,0.2,0.2,0.7907,0.2206,1.0,0.0863,0.1186,0.1161,5,0,1.6543444778132908e+16,8817840273549746.0,598178068946512.2
35,0.3143,2.1152,0.7478,0.3143,1687.05,6648117.0,0.2,0.2,0.7789,0.1787,1.0,0.0864,0.1185,0.1232,5,0,1.6633901290665292e+16,8817840273549746.0,601547962771696.8
37,0.3143,2.1218,0.7159,0.3143,1699.44,6559303.0,0.2,0.2,0.7672,0.1954,1.0,0.0864,0.1187,0.1303,5,0,1.6719467551391974e+16,8817840273549746.0,677481841737680.1
39,0.3143,2.1307,0.7436,0.3143,1712.15,6467161.0,0.2,0.2,0.7558,0.2002,1.0,0.0864,0.1186,0.1374,5,0,1.6800481715926636e+16,8817840273549746.0,611465751049402.0
41,0.2857,2.14,0.7632,0.2857,1121.29,6412455.0,0.2,0.2,0.7445,0.1737,1.0,0.0864,0.1193,0.1445,5,0,1.6877199744127086e+16,8817840273549746.0,564690291882007.5
43,0.2857,2.1471,0.7519,0.2857,1125.12,6375140.0,0.2,0.2,0.7334,0.2014,1.0,0.0864,0.1197,0.1515,5,0,1.694987743666002e+16,8817840273549746.0,591845828792681.1
45,0.2857,2.1516,0.7247,0.2857,1129.08,6333859.0,0.2,0.2,0.7224,0.1912,1.0,0.0864,0.1197,0.1586,5,0,1.7018733061849582e+16,8817840273549746.0,656612084741999.1
47,0.2857,2.1578,0.8048,0.2857,1133.22,6237323.0,0.2,0.2,0.7116,0.1665,1.0,0.0864,0.1205,0.1657,5,0,1.708396542614794e+16,8817840273549746.0,465533195024764.44
49,0.2857,2.1611,0.6848,0.2857,1137.39,6303256.0,0.2,0.2,0.7009,0.1459,1.0,0.0864,0.1212,0.1727,5,0,1.7145756486120676e+16,8817840273549746.0,751752095560642.6
