from_node,to_node,K_i_bnUSD,K_j_bnUSD,distance_km,trade_pct_gdp_i,trade_pct_gdp_j,C_ij_capacity,kappa_ij_cost,rho_i,rho_j,rho_ij_risk,active,A_trade_from,A_trade_to,C_ij_corrected,export_qty_t_total,C_ij_fao_rescale,C_ij_fao_actual
United States,China,24977.118,32004.885,11146.0,25.29,36.105,5.87549788838191e+17,0.5573,0.3333,1.0,0.6667,1,4.98222425257149,0.1831727396433205,5.281440421026854e+19,212566398.28000003,94.09480664905156,5.281440421026854e+19
United States,India,24977.118,13376.573,12046.0,25.29,44.993,2.619988456594939e+17,0.6023,0.3333,0.6667,0.5,1,4.98222425257149,1.2375989763828106,5.143544754120875e+16,207016.4,0.07906086081846808,5.143544754120875e+16
United States,Brazil,24977.118,4028.525,6796.0,25.29,33.666,1.854943385491129e+17,0.3398,0.3333,0.3333,0.3333,1,4.98222425257149,76.47659476447654,1.541549803419804e+16,62044.0,0.004257464097585707,1.541549803419804e+16
United States,Russia,24977.118,5835.482,7821.0,25.29,40.834,2.460788982575284e+17,0.3911,0.3333,0.6667,0.5,1,4.98222425257149,3.071899161702484,3.0470479537424188e+16,122637.0,0.03165117243474391,3.0470479537424188e+16
United States,Ukraine,24977.118,561.23,7833.0,25.29,77.51,4.478543169799799e+16,0.3916,0.3333,0.6667,0.5,1,4.98222425257149,9.312299146946048,364735394304720.1,1467.98,0.0011956416901581146,364735394304720.1
United States,Argentina,24977.118,1240.029,8397.0,25.29,26.677,2.963578373593374e+16,0.4199,0.3333,0.3333,0.3333,1,4.98222425257149,100.0,5.241398531211143e+16,210954.8,0.07923537725471491,5.241398531211143e+16
United States,Australia,24977.118,1617.856,15944.0,25.29,49.044,1.971655640775597e+16,0.7972,0.3333,0.0,0.1667,1,4.98222425257149,79.42885847747789,1.0524411751445364e+16,42358.45,0.026832798478158077,1.0524411751445364e+16
United States,Canada,24977.118,2305.5,733.0,25.29,66.632,1.8060879127363688e+19,0.0367,0.3333,0.3333,0.3333,1,4.98222425257149,2.910147342926411,9.319306161618812e+17,3750816.42,0.01355113177930218,9.319306161618812e+17
United States,France,24977.118,3712.391,6165.0,25.29,70.626,4.357625010627808e+17,0.3083,0.3333,0.0,0.1667,1,4.98222425257149,0.3360171579634735,2.1282450886458176e+17,856571.99,0.37746737599039354,2.1282450886458176e+17
United States,Indonesia,24977.118,3905.723,16358.0,25.29,41.336,3.81126656338389e+16,0.8,0.3333,0.6667,0.5,1,4.98222425257149,0.1192907261272955,4.319472000322996e+18,17384927.830000002,147.0098253291886,4.319472000322996e+18
United States,Vietnam,24977.118,1359.364,13344.0,25.29,164.818,7.948137984974574e+16,0.6672,0.3333,1.0,0.6667,1,4.98222425257149,0.6765030764157078,1.0451393488582957e+18,4206456.75,7.162461114038313,1.0451393488582957e+18
United States,Thailand,24977.118,1519.479,14154.0,25.29,128.824,6.172061286698329e+16,0.7077,0.3333,0.6667,0.5,1,4.98222425257149,1.6743502921052975,1.527116480621715e+18,6146309.04,8.566573341713594,1.527116480621715e+18
United States,Egypt,24977.118,1911.761,9349.0,25.29,40.45,5.588855565538147e+16,0.4674,0.3333,0.6667,0.5,1,4.98222425257149,0.01,4.242201498396833e+18,17073931.0,340.0609557915103,4.242201498396833e+18
United States,Nigeria,24977.118,1787.476,8896.0,25.29,26.167,3.733303999280286e+16,0.4448,0.3333,0.3333,0.3333,1,4.98222425257149,0.01,2.4927837268920428e+16,100329.08,2.991435268575569,2.4927837268920428e+16
United States,Bangladesh,24977.118,1413.299,12920.0,25.29,30.983,1.6570245351311164e+16,0.646,0.3333,1.0,0.6667,1,4.98222425257149,0.01,1.1363319581601009e+18,4573487.01,307.23072538373464,1.1363319581601009e+18
United States,Pakistan,24977.118,1341.17,11374.0,25.29,28.468,1.864259566714301e+16,0.5687,0.3333,0.6667,0.5,1,4.98222425257149,0.107169635497179,8.116014732717516e+17,3266518.0,59.578413427290414,8.116014732717516e+17
United States,Germany,24977.118,5250.377,6710.0,25.29,81.963,6.037508322614034e+17,0.3355,0.3333,0.0,0.1667,1,4.98222425257149,0.1026848226912732,2.944895559907023e+18,11852559.01,6.819419236152986,2.944895559907023e+18
United States,Japan,24977.118,5710.167,10906.0,25.29,45.151,1.3692439066157346e+17,0.5453,0.3333,0.0,0.1667,1,4.98222425257149,0.01,6.775356420494557e+18,27269324.210000005,221.68672815735485,6.775356420494557e+18
