Node,Type,P_i,b_i,d_i,L_i,W_i,E_fuel_i,E_elec_i,K_i,T_i,A_i,theta_animal_i,theta_perish_i,theta_imperish_i,D_i_Mt,F_imperish_i,F_a_i,F_perish_i,R_i,mu_i,sigma_safe_i,epsilon_i,psi_i,rho_i,clim_vuln_i,undernourishment_baseline_pct,epsilon_ef
United States,hub_country,343477330.0,0.014125,0.008285,421.5405,0.8123,21273.86,5945.62,24977.1178,0.927,0.2363,0.2794,0.058,0.6626,145.5511,95.634,47.8171,0.1619,9.5634,1.3988,1.8483,0.142,0.0168,0.3333,0.3403,2.5,0.48
China,hub_country,1422584930.0,0.006068,0.008428,520.4129,0.7232,38702.49,14406.75,32004.8848,0.2836,0.3517,0.194,0.13,0.676,538.6235,455.155,227.5776,1.3429,45.5155,1.3556,1.7834,0.0712,0.01725,1.0,0.3989,2.5,0.39
India,hub_country,1438069597.0,0.017975,0.009125,178.5709,0.5567,9750.19,2088.34,13376.5725,0.1163,0.5977,0.1401,0.0634,0.7965,411.9657,85.623,42.8116,0.5009,8.5623,1.32,1.73,0.0528,0.01965,0.6667,0.5997,12.0,0.31
Brazil,hub_country,211140731.0,0.012772,0.008662,236.7589,0.99,1931.07,3429.63,4028.5255,0.2385,0.7801,0.2679,0.0498,0.6823,77.5979,62.245,31.1225,0.0741,6.2245,1.3653,1.798,0.0662,0.0174,0.3333,0.3925,2.5,0.35
Russia,hub_country,145440502.0,0.005751,0.008981,215.7009,0.9725,7709.94,1554.77,5835.482,0.4986,0.4516,0.274,0.0479,0.6781,55.0906,15.629,7.8145,0.0506,1.5629,1.3367,1.755,0.0948,0.01785,0.6667,0.3149,2.5,0.41
Ukraine,hub_country,37732833.0,-0.006512,0.008948,41.311,0.958,408.14,96.52,561.2297,0.199,2.9496,0.2215,0.0657,0.7128,11.2845,7.128,3.564,0.0142,0.7128,1.19,1.5349,0.0619,0.018,0.6667,0.4156,6.9,0.38
Argentina,hub_country,45538402.0,0.011979,0.008489,116.1364,0.9303,840.61,349.15,1240.0287,0.3404,1.2957,0.3099,0.0433,0.6468,16.4281,40.792,20.396,0.0136,4.0792,1.3933,1.8399,0.0774,0.018,0.3333,0.3691,3.4,0.37
Australia,hub_country,26451126.0,0.017679,0.007829,363.2437,0.9689,1419.98,576.94,1617.8563,0.7586,0.7629,0.2783,0.0521,0.6696,10.1145,8.763,4.3815,0.0101,0.8763,1.3038,1.7057,0.1234,0.01665,0.0,0.3759,2.5,0.44
Canada,hub_country,39299098.0,0.020131,0.007951,56.875,0.9752,2585.13,2542.55,2305.4995,0.719,0.8122,0.2715,0.0598,0.6687,15.1459,13.343,6.6715,0.0174,1.3343,1.2335,1.6002,0.1191,0.0162,0.3333,0.24,2.5,0.46
France,hub_country,66438828.0,0.009615,0.007885,28.2972,0.8575,1186.15,647.1,3712.3911,0.6787,0.6486,0.3466,0.0566,0.5968,24.8889,2.85226794,,0.027,0.285226794,1.2175,1.5762,0.1147,0.0177,0.0,0.2906,2.5,0.4
Indonesia,hub_country,281190068.0,0.017515,0.009235,55.1223,0.802,2487.26,517.94,3905.723,0.1736,0.3564,0.0901,0.0576,0.8523,87.5501,7.989,3.9945,0.0967,0.7989,1.3347,1.752,0.0591,0.01995,0.6667,0.49,6.3,0.29
