Date,Food_Price_Index,Meat,Dairy,Cereals,Oils,Sugar
1990-01,64.4,74.3,53.5,64.1,44.59,87.9
1990-02,64.7,76.8,52.2,62.2,44.5,90.7
1990-03,64.0,78.5,41.4,61.3,45.75,95.1
1990-04,66.0,81.2,48.4,62.8,44.02,94.3
1990-05,64.6,81.8,39.2,62.0,45.5,90.4
1990-06,64.1,84.2,39.2,60.7,43.8,80.3
1990-07,62.9,84.5,39.2,57.9,43.72,74.2
1990-08,61.8,84.5,36.8,55.7,45.37,67.6
1990-09,61.3,85.5,38.1,52.5,44.79,68.5
1990-10,61.4,86.2,38.9,52.8,45.72,60.8
1990-11,62.3,87.6,39.4,52.4,48.3,62.3
1990-12,62.2,84.4,45.1,52.6,49.6,60.3
2005-01,65.8,69.9,76.2,60.5,63.15,54.0
2005-02,66.2,71.1,76.7,60.3,62.27,56.3
2005-03,67.5,71.7,77.0,61.5,66.74,55.0
2005-04,66.0,70.4,76.2,59.5,65.07,53.2
2005-05,66.5,72.6,76.5,59.4,64.23,53.1
2005-06,67.4,73.6,76.4,60.2,64.64,56.0
2005-07,67.7,72.6,77.1,61.2,64.44,59.7
2005-08,67.6,72.8,78.3,60.9,62.51,61.5
2005-09,68.6,73.9,78.7,61.5,64.0,63.8
2005-10,69.5,73.8,78.5,62.1,66.81,68.8
2005-11,69.0,74.1,78.0,60.6,65.44,70.4
2005-12,69.8,74.4,76.9,61.5,63.49,82.6
2006-01,69.8,71.2,74.3,62.7,63.67,97.5
2006-02,70.8,68.8,74.5,64.8,64.99,111.1
2006-03,69.8,68.0,73.1,63.9,65.16,106.7
2006-04,70.1,67.4,71.6,65.1,66.76,108.2
2006-05,71.3,69.0,71.3,67.8,68.28,104.1
2006-06,71.4,71.3,71.0,67.8,67.94,95.3
2006-07,73.2,72.7,71.3,69.9,70.45,99.3
2006-08,73.1,74.8,70.3,69.6,73.55,83.2
2006-09,73.2,75.3,70.3,72.5,71.7,74.8
2006-10,75.1,74.3,71.9,79.9,72.7,72.0
2006-11,77.7,72.6,75.4,85.3,78.35,72.9
2006-12,78.8,71.3,81.7,85.4,83.01,71.6
2007-01,78.5,70.7,84.2,85.1,82.27,67.8
2007-02,80.0,72.2,88.3,87.0,82.87,65.4
2007-03,81.1,73.9,91.8,86.4,84.42,64.6
2007-04,83.9,75.8,102.0,85.1,92.76,60.2
2007-05,86.5,77.5,105.3,86.6,100.25,58.4
2007-06,91.4,78.8,121.0,91.9,104.92,57.5
2007-07,95.5,79.9,135.0,94.9,108.58,62.9
2007-08,99.1,79.9,141.5,102.1,112.8,60.7
2007-09,105.3,81.4,145.1,117.2,118.25,60.4
2007-10,107.9,80.1,148.0,121.3,125.85,61.9
2007-11,110.8,81.1,154.0,121.0,136.25,62.5
2007-12,114.7,81.8,152.6,132.2,138.56,66.3
2008-01,120.4,82.8,150.6,141.0,154.1,74.1
2008-02,128.4,80.6,149.9,160.8,168.63,83.6
2008-03,132.4,85.6,152.6,163.3,176.6,81.7
2008-04,130.7,87.0,148.9,162.7,169.41,77.7
2008-05,130.3,91.8,144.3,157.4,172.02,74.7
2008-06,132.7,93.6,143.9,160.3,178.32,75.0
2008-07,130.2,100.4,144.1,148.2,164.8,88.1
2008-08,121.2,102.1,133.5,136.5,135.62,90.4
2008-09,112.8,100.9,120.5,125.3,120.59,83.7
2008-10,97.8,95.7,107.0,104.9,92.21,73.6
2008-11,89.7,87.9,97.8,96.0,82.03,74.9
2008-12,86.3,81.8,94.9,95.1,78.55,72.7
2009-01,86.7,78.1,88.2,100.4,82.78,77.4
2009-02,84.5,76.0,82.6,97.2,82.24,81.9
2009-03,84.3,76.1,80.9,97.2,81.49,82.9
2009-04,87.4,78.5,80.4,98.1,93.8,84.5
2009-05,93.5,81.3,83.5,103.3,106.61,99.4
2009-06,93.4,83.4,84.7,103.0,100.72,101.7
2009-07,90.7,85.2,85.1,94.5,89.9,114.0
2009-08,93.5,85.4,88.0,91.9,97.85,138.8
2009-09,93.1,84.5,95.1,89.8,93.25,142.6
2009-10,94.8,82.6,102.7,93.8,95.17,140.1
2009-11,98.9,83.9,113.1,98.0,101.76,137.8
2009-12,100.8,84.5,112.8,99.0,107.56,145.6
2010-01,101.8,86.0,109.0,98.4,107.1,163.8
2010-02,99.3,86.5,101.6,94.0,107.31,157.4
2010-03,96.5,87.5,101.6,91.8,110.33,115.5
2010-04,97.1,90.1,109.7,90.7,109.36,101.8
2010-05,96.4,90.1,111.8,90.6,107.17,94.1
2010-06,95.9,91.2,110.4,87.8,106.03,98.1
2010-07,100.0,92.0,112.8,95.3,110.13,107.9
2010-08,107.8,92.9,112.3,112.9,121.81,114.6
2010-09,114.1,92.5,116.0,125.9,124.85,138.7
2010-10,120.1,93.9,121.4,130.6,139.18,152.3
2010-11,124.2,96.4,118.7,132.4,153.87,162.8
2010-12,129.4,97.5,117.4,139.7,166.26,173.8
2011-01,133.8,97.9,122.8,144.9,174.49,183.2
2011-02,137.7,100.5,130.3,151.4,175.43,182.4
2011-03,134.3,103.6,135.8,145.5,163.11,162.4
2011-04,136.3,107.5,134.5,151.7,162.79,150.7
2011-05,135.1,108.0,134.2,150.9,162.4,136.2
2011-06,134.8,106.2,135.3,147.1,160.78,156.0
2011-07,133.0,105.8,133.6,140.5,156.05,174.6
2011-08,132.7,104.9,131.9,144.9,151.48,171.7
2011-09,130.1,106.1,127.1,140.5,147.82,165.3
2011-10,125.6,105.9,126.2,133.1,137.99,157.5
2011-11,125.9,107.8,125.1,130.9,144.96,148.2
2011-12,121.9,106.1,122.0,124.4,140.45,142.6
2019-01,93.1,91.6,100.9,101.8,80.26,79.3
2019-06,95.4,101.2,102.9,99.2,77.46,79.9
2019-12,100.8,106.0,103.5,97.4,101.5,83.0
2020-01,102.5,103.5,103.8,100.7,108.73,87.5
2020-02,99.6,101.0,102.8,99.6,97.55,91.4
2020-03,95.2,99.5,101.6,98.0,85.42,73.9
2020-04,92.4,96.5,95.9,99.6,81.18,63.2
2020-05,91.2,95.4,94.5,98.0,77.77,67.8
2020-06,93.1,94.5,98.3,97.3,86.61,74.9
2020-07,93.8,91.4,101.8,97.3,93.2,76.0
2020-08,95.7,91.4,102.1,99.2,98.7,81.1
2020-09,97.9,91.2,102.3,104.3,104.6,79.0
2020-10,101.3,91.6,104.5,112.1,106.45,84.7
2020-11,105.5,93.1,105.4,114.8,121.9,87.5
2020-12,108.5,94.7,108.7,116.4,131.2,87.1
2021-01,113.5,95.9,111.1,125.0,138.87,94.2
2021-02,116.5,97.7,112.8,126.1,147.46,100.2
2021-03,119.1,100.5,117.2,123.9,159.3,96.2
2021-04,122.1,104.4,119.0,126.2,162.19,100.0
2021-05,128.4,108.1,121.2,133.7,174.9,106.8
2021-06,125.4,110.9,120.1,130.3,157.7,107.7
2021-07,124.4,113.3,117.2,126.3,155.5,109.6
2021-08,128.0,113.1,117.2,130.4,165.9,120.5
2021-09,129.1,112.1,119.2,132.8,168.6,121.2
2021-10,133.3,111.6,122.6,137.1,184.8,119.1
2021-11,135.4,112.4,127.2,141.4,184.6,120.2
2021-12,133.7,110.5,130.4,140.5,178.5,116.4
2022-01,135.7,111.7,134.3,140.6,185.9,112.7
2022-02,141.7,113.7,145.0,145.3,201.7,110.5
2022-03,160.2,119.3,149.6,170.1,251.8,117.9
2022-04,158.8,121.3,150.7,169.7,237.5,121.5
2022-05,158.7,122.5,149.7,173.5,229.2,120.4
2022-06,155.7,125.4,158.2,166.3,211.8,117.3
2022-07,141.6,123.3,155.6,147.3,168.8,112.8
2022-08,138.7,120.3,153.1,145.6,163.3,110.5
2022-09,137.3,119.9,152.8,147.9,152.6,109.7
2022-10,136.7,116.5,149.2,152.3,151.3,108.6
2022-11,136.0,114.1,147.4,150.1,154.7,114.4
2022-12,133.1,111.9,148.6,147.3,144.6,117.2
2023-01,131.4,110.5,144.7,147.5,140.4,116.8
2023-06,123.0,118.6,119.9,126.6,115.8,152.2
2023-12,119.1,111.2,118.7,122.8,122.3,134.2
2024-06,121.0,118.1,127.9,115.2,131.8,119.4
2024-12,127.3,119.6,141.2,111.4,164.1,126.4
2025-06,128.1,126.0,155.5,107.3,155.7,103.6
2025-12,124.5,124.8,128.2,107.2,165.2,90.7
2026-05,130.8,130.5,119.2,114.3,185.0,95.1
