node,cc_mean,cc_std,cc_p5,cc_p95
Nordics,0.5183,0.0152,0.4938,0.5428
Germany,0.5149,0.0116,0.4965,0.5328
France,0.5028,0.0103,0.4863,0.5195
Australia,0.4848,0.0136,0.4626,0.5067
Japan,0.4824,0.0086,0.4688,0.4974
EU-other,0.4726,0.0098,0.4567,0.4874
United States,0.4673,0.0133,0.445,0.4902
Canada,0.4375,0.0108,0.4192,0.4556
United Kingdom,0.4315,0.0106,0.4144,0.4506
Andean & Southern Cone-other,0.3625,0.0035,0.3569,0.3682
Brazil,0.3565,0.0036,0.3513,0.3626
Eastern Europe-other,0.3443,0.0105,0.3249,0.3597
Nigeria,0.3365,0.008,0.3228,0.3484
Russia,0.3332,0.0074,0.321,0.3456
Argentina,0.3318,0.0098,0.3166,0.345
Southeast Asia-other,0.3269,0.0041,0.3204,0.3338
Saudi Arabia,0.3165,0.0129,0.2962,0.3366
Caribbean & Central America,0.3125,0.0035,0.3066,0.3185
Indonesia,0.2926,0.0026,0.2881,0.297
Southern Africa (SADC),0.2906,0.0079,0.2796,0.3019
Egypt,0.2884,0.0074,0.275,0.2977
MENA-other,0.2866,0.004,0.2799,0.2933
India,0.2804,0.0017,0.2775,0.2832
Thailand,0.2731,0.0088,0.2588,0.2876
Central Asia,0.2539,0.0082,0.2397,0.2661
Pakistan,0.2436,0.0074,0.2329,0.255
China,0.2404,0.0042,0.2335,0.2476
East Africa,0.2359,0.0078,0.2228,0.2476
Bangladesh,0.1864,0.0077,0.1742,0.1989
West Africa (ECOWAS),0.1784,0.0285,0.125,0.2179
Vietnam,0.1467,0.0067,0.1357,0.1573
South Asia-other,0.1072,0.0164,0.0808,0.1324
Central Africa,0.0522,0.0053,0.05,0.0642
Ukraine,0.0501,0.0013,0.05,0.05
Pacific/Oceania-other,0.0501,0.001,0.05,0.05
