Node,old_proxy,new_ndgain_2022,delta
United States,0.0412,0.3403,0.2991
China,0.0233,0.3989,0.3756
India,0.0381,0.5997,0.5616
Brazil,0.1268,0.3925,0.2657
Russia,0.0775,0.3149,0.2374
Ukraine,0.231,0.4156,0.1846
Argentina,0.14,0.3691,0.2291
Australia,0.0905,0.3759,0.2854
Canada,0.0357,0.24,0.2043
France,0.148,0.2906,0.1426
Indonesia,0.412,0.49,0.078
Vietnam,0.4702,0.4201,-0.0501
Thailand,0.0955,0.461,0.3655
Egypt,0.0357,0.4844,0.4487
Nigeria,0.398,0.6087,0.2107
Bangladesh,0.581,0.5788,-0.0022
Pakistan,0.487,0.5505,0.0635
Germany,0.122,0.1915,0.0695
Japan,0.0357,0.2432,0.2075
United Kingdom,0.101,0.2167,0.1157
Saudi Arabia,0.0357,0.4141,0.3784
West Africa (ECOWAS),0.451,0.6156,0.1646
East Africa,0.1241,0.6373,0.5132
Southern Africa (SADC),0.0492,0.5363,0.4871
Central Africa,0.519,0.5776,0.0586
MENA-other,0.389,0.4406,0.0516
Central Asia,0.0865,0.4345,0.348
South Asia-other,0.0041,0.5309,0.5268
Southeast Asia-other,0.0079,0.5079,0.5
Pacific/Oceania-other,0.3109,0.5433,0.2324
Caribbean & Central America,0.0199,0.4358,0.4159
Andean & Southern Cone-other,0.0357,0.4258,0.3901
Eastern Europe-other,0.195,0.3537,0.1587
EU-other,0.0389,0.2404,0.2015
Nordics,0.0357,0.2634,0.2277
