Year,Food_Price_Index,Meat,Dairy,Cereals,Oils,Sugar
1990,57.5,77.5,36.0,48.7,39.3,73.9
2000,68.0,86.6,74.5,52.7,50.4,50.6
2001,68.7,89.3,79.7,54.4,48.3,50.3
2002,72.5,91.6,77.9,57.6,56.4,59.8
2003,77.3,92.5,86.0,58.5,67.0,57.5
2004,88.6,98.2,99.7,73.1,86.9,65.3
2005,67.6,72.6,77.2,60.8,64.4,61.2
2006,72.9,71.4,73.1,71.2,70.5,91.4
2007,94.6,77.8,122.4,100.9,107.3,62.4
2008,117.7,90.9,132.3,137.6,141.1,79.2
2009,91.8,81.6,91.4,97.2,94.4,112.2
2010,106.9,91.4,111.9,107.5,122.0,131.7
2011,131.8,105.0,129.9,142.2,156.5,160.9
2012,132.4,112.8,133.1,142.0,143.4,108.0
2013,120.1,115.0,127.6,121.5,124.3,99.1
2014,114.1,122.0,109.8,109.8,111.2,91.2
2015,93.0,114.1,77.7,91.7,88.6,80.3
2016,92.9,109.5,91.3,93.0,90.6,97.6
2017,98.1,110.8,106.9,97.1,105.6,85.0
2018,96.3,107.6,97.7,100.7,96.1,72.0
2019,96.4,99.6,102.4,99.5,86.4,80.7
2020,98.1,95.3,101.8,103.1,99.4,79.5
2021,125.7,107.5,119.6,131.1,164.9,109.3
2022,143.7,118.3,149.5,154.7,187.8,114.5
2023,124.5,113.4,127.8,132.3,126.2,134.4
2024,124.2,118.9,134.6,113.3,148.0,122.9
2025,126.3,125.4,141.9,107.3,160.5,97.2
2026,130.8,130.5,119.2,114.3,185.0,95.1
