step,U_undernourished,GFS,TC_trade_collapse,EB_export_ban_rate,PAR_millions,famine_deaths_step,price_index,price_ratio,SAV_scale,SAV_homogeneity,SAV_connectivity,SAV_power,mean_FS_index,mean_ES_index,n_overload_food,n_overload_energy,total_supply_kcal_yr,total_demand_kcal_yr,trade_volume_kcal
1,0.4571,1.5262,0.0,0.4571,2724.07,14821846.0,1.1968,1.1968,1.0,0.1582,1.0,0.0853,0.175,0.0067,12,0,1.2348278176560794e+16,8817840273549746.0,2385044216161700.0
3,0.3714,1.6552,0.3553,0.3714,1784.66,10619698.0,0.5673,0.5673,0.9895,0.2024,1.0,0.086,0.1668,0.0134,12,0,1.3697725224252996e+16,8817840273549746.0,1537740486916266.5
5,0.3714,1.6951,0.6383,0.3714,1793.14,9784811.0,0.3035,0.3035,0.9758,0.1141,1.0,0.0861,0.1352,0.0201,10,0,1.3941424250832022e+16,8817840273549746.0,862554885026922.6
7,0.3429,1.7284,0.7153,0.3429,1568.69,9548130.0,0.2,0.2,0.9614,0.1629,1.0,0.0862,0.1343,0.0269,10,0,1.4162325087348934e+16,8817840273549746.0,679120637993405.0
9,0.3429,1.8145,0.683,0.3429,1576.52,8710032.0,0.2,0.2,0.9471,0.2714,1.0,0.0862,0.1254,0.0336,7,0,1.4879367818730284e+16,8817840273549746.0,756018848151273.0
11,0.3429,1.8346,0.709,0.3429,1584.73,8484219.0,0.2,0.2,0.9329,0.2647,1.0,0.0862,0.1236,0.0403,6,0,1.507650591934568e+16,8817840273549746.0,694024511585963.5
13,0.3429,1.8528,0.7079,0.3429,1593.31,8293033.0,0.2,0.2,0.9189,0.234,1.0,0.0862,0.123,0.047,5,0,1.5258818034256802e+16,8817840273549746.0,696609137906536.2
15,0.3429,1.8727,0.7852,0.3429,1602.34,8017532.0,0.2,0.2,0.9053,0.1726,1.0,0.0862,0.1212,0.0537,5,0,1.5428199214109368e+16,8817840273549746.0,512189060130819.5
17,0.3429,1.8931,0.5984,0.3429,1611.64,7922951.0,0.2,0.2,0.8917,0.2673,1.0,0.0862,0.1209,0.0605,5,0,1.5585965768944544e+16,8817840273549746.0,957763435717931.1
19,0.3143,1.9096,0.7187,0.3143,1599.75,7641703.0,0.2,0.2,0.8785,0.207,1.0,0.0863,0.1189,0.0674,5,0,1.5733234394104766e+16,8817840273549746.0,671002606987414.6
21,0.3143,1.9419,0.7682,0.3143,1609.57,7485767.0,0.2,0.2,0.8654,0.2356,1.0,0.0863,0.1194,0.0743,6,0,1.5871334299718218e+16,8817840273549746.0,552800022791885.5
23,0.3143,1.9881,0.6509,0.3143,1619.71,7355390.0,0.2,0.2,0.8525,0.1811,1.0,0.0863,0.1192,0.0812,6,0,1.600114210121947e+16,8817840273549746.0,832718967963994.2
25,0.3143,2.0445,0.775,0.3143,1630.19,7213521.0,0.2,0.2,0.8398,0.1717,1.0,0.0863,0.1185,0.0881,5,0,1.612336820532838e+16,8817840273549746.0,536743822911259.94
27,0.3143,2.0709,0.8107,0.3143,1640.98,7101779.0,0.2,0.2,0.8272,0.142,1.0,0.0863,0.1188,0.0949,5,0,1.6238531920878366e+16,8817840273549746.0,451533958368090.56
29,0.3143,2.0883,0.6955,0.3143,1651.96,7112954.0,0.2,0.2,0.8148,0.2233,1.0,0.0863,0.1194,0.1019,5,0,1.6346242839216478e+16,8817840273549746.0,726214522453943.5
31,0.3143,2.0989,0.6915,0.3143,1663.25,7004825.0,0.2,0.2,0.8026,0.1811,1.0,0.0863,0.1195,0.1089,5,0,1.644778208164621e+16,8817840273549746.0,735768472668718.1
33,0.3143,2.1075,0.7492,0.3143,1674.97,6789291.0,0.2,0.2,0.7907,0.2206,1.0,0.0863,0.1186,0.1161,5,0,1.6543447085823024e+16,8817840273549746.0,598178782004002.5
35,0.3143,2.1152,0.7478,0.3143,1687.05,6648152.0,0.2,0.2,0.7789,0.1787,1.0,0.0864,0.1185,0.1232,5,0,1.6633903782966342e+16,8817840273549746.0,601549768195837.5
37,0.3143,2.1218,0.7159,0.3143,1699.44,6559340.0,0.2,0.2,0.7673,0.1954,1.0,0.0864,0.1187,0.1303,5,0,1.67194702173928e+16,8817840273549746.0,677483458458089.1
39,0.3143,2.1307,0.7436,0.3143,1712.15,6467200.0,0.2,0.2,0.7558,0.2002,1.0,0.0864,0.1186,0.1374,5,0,1.6800484545659776e+16,8817840273549746.0,611467584900633.1
41,0.2857,2.14,0.7632,0.2857,1121.29,6412495.0,0.2,0.2,0.7445,0.1737,1.0,0.0864,0.1193,0.1445,5,0,1.6877202728377076e+16,8817840273549746.0,564691680432588.2
43,0.2857,2.1471,0.7519,0.2857,1125.12,6375181.0,0.2,0.2,0.7334,0.2014,1.0,0.0864,0.1197,0.1515,5,0,1.6949880566927526e+16,8817840273549746.0,591846949232273.0
45,0.2857,2.1516,0.7247,0.2857,1129.07,6333902.0,0.2,0.2,0.7224,0.1912,1.0,0.0864,0.1197,0.1586,5,0,1.701873633036607e+16,8817840273549746.0,656615444823544.0
47,0.2857,2.1578,0.8048,0.2857,1133.22,6237365.0,0.2,0.2,0.7116,0.1665,1.0,0.0864,0.1205,0.1657,5,0,1.7083968825928222e+16,8817840273549746.0,465534363715882.5
49,0.2857,2.1611,0.6848,0.2857,1137.39,6303355.0,0.2,0.2,0.7009,0.1459,1.0,0.0864,0.1212,0.1727,5,0,1.7145760010231468e+16,8817840273549746.0,751752170434499.8
