node,year,node_type,population,gdp,fossil_fuel_consumption,renewables_electricity,electricity_generation,electricity_demand,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,oil_consumption,gas_consumption,coal_consumption,fossil_share_energy,renewables_share_energy,low_carbon_share_elec,energy_per_capita,net_elec_imports,greenhouse_gas_emissions,co2,co2_per_capita,methane,nitrous_oxide,land_use_change_co2,arable_land_pct,water_withdrawal_pct,trade_pct_gdp,life_expectancy,fertiliser_kg_ha,uhc_index,kcal_cap_day,food_prod_kt,food_import_kt,food_export_kt,cereal_prod_t,fao_fpi,gdp_per_capita,gdp_bn_usd2015,pop_millions,caloric_demand_kcal_yr,Ti,Wi,Li,eps_i,psi_i,mu_i,sigma_safe_i,bi_minus_di,energy_stress_index,fao_fpi.1,cereal_yield_t_ha,chi_i,chi_shock,cereal_prod_Mt_fao,meat_prod_Mt_fao,A_i_implied
Andean & Southern Cone-other,2000,bloc,29662632.0,189261817021.0,81.622,70.11,75.49000000000001,28.56,0.0,0.0,70.02,0.0,78.338,3.268,0.016,79.427,20.573,79.117,6800.03325,-46.92999999999999,5.359999999999999,38.260000000000005,1.238,76.881,21.479,178.94299999999998,6.213763390430669,1.788527301231012,56.59013457910832,69.7165,50.38598114088035,48.72,,,,,5992604.76,53.65,6380.479554916098,189.261817021,29.662632,29232523836000.0,0.3389807468011052,0.98211472698769,6.213763390430669,0.0941591988872902,0.0542412058823529,0.7902392024632575,1.1212682651830537,0.0143233091605545,0.6308648329000001,53.65,,,,,,0.4622
Andean & Southern Cone-other,2001,bloc,30125423.0,192892496199.0,84.711,63.71000000000001,69.51,29.15,0.0,0.0,63.62,0.0,81.364,3.326,0.021,81.263,18.737,79.52025,6566.01775,-40.36,5.48,40.916,1.26625,77.779,23.768,166.563,6.15758172699442,1.8410191772452111,52.56788020777167,70.09425,85.6590025101829,,,,,,6315635.35,55.34166666666667,6402.980505833893,192.892496199,30.125423,29688604366500.0,0.3757370098039774,0.981589808227548,6.15758172699442,,,0.7940739489102792,1.1213432683527798,0.0143233091605545,0.6603675169000001,55.34166666666667,,,,,,
Andean & Southern Cone-other,2002,bloc,30579033.0,199090374895.0,82.147,67.46,73.78,30.34,0.0,0.0,67.37,0.0,80.801,1.324,0.022,79.94,20.06,79.09375,6168.87125,-43.44,5.970000000000001,43.698,1.297,79.132,24.167,166.85299999999998,6.123058324080975,1.893511052774584,55.9043843162655,70.4375,70.1018665315759,,,,,,6592215.73,53.425,6510.682495911496,199.090374895,30.579033,30135637021500.0,0.3621093576807898,0.981064889472254,6.123058324080975,,,0.7898399282178054,1.1217022749863717,0.0143233091605545,0.63904036,53.425,,,,,,
Andean & Southern Cone-other,2003,bloc,31030632.0,205110782420.0,85.783,69.47000000000001,76.16000000000001,31.34,0.0,0.0,69.38000000000001,0.0,82.591,2.311,0.882,81.428,18.572,77.11699999999999,6754.968500000001,-44.82000000000001,6.35,46.659,1.34525,81.738,24.506,381.222,6.1601313276412695,1.9460029288711576,59.3029856235871,70.742,84.34705934627391,,,,,,7131858.78,58.11666666666667,6609.945373333035,205.11078242,31.030632,30580687836000.0,0.3780910088939843,0.9805399707112884,6.1601313276412695,,,0.7856141362653042,1.1220331512444437,0.0143233091605545,0.6630519184,58.11666666666667,,,,,,
Andean & Southern Cone-other,2004,bloc,31484335.0,218772756788.0,92.688,66.28,75.16,34.09,0.0,0.0,66.18,0.0,87.288,5.379,0.021,82.182,17.818,71.84575,7324.270999999999,-41.07,7.720000000000001,49.993,1.4515,83.38600000000001,25.741,231.305,6.202076250113787,1.9984948046716835,63.77998687892605,71.015,107.88063352072614,,,,,,8159453.0,65.89999999999999,6948.622443129258,218.772756788,31.484335,31027812142500.0,0.404845959612176,0.9800150519532832,6.202076250113787,,,0.7783148260949968,1.123162074810431,0.0143233091605545,0.6753881124,65.89999999999999,,,,,,
Andean & Southern Cone-other,2005,bloc,31940796.0,230595995661.0,100.689,66.72,76.38,35.04,0.0,0.0,66.6,0.0,95.141,5.523,0.025,84.25,15.75,70.60875,7309.615250000001,-41.34,8.329999999999998,52.498,1.4925,85.04599999999999,26.119,179.469,6.32124920322385,2.0509866804722066,68.37493803281365,71.30924999999999,91.11323186690656,54.4,,,,,8068198.0,67.63333333333334,7219.481808186621,230.595995661,31.940796,31477654458000.0,0.3909228164705036,0.979490133195278,6.32124920322385,0.1042087045204665,0.0515973676470588,0.7714627135656311,1.124064939360622,0.0143233091605545,0.7098062500000001,67.63333333333334,0.0332,1.0,0.0,20.06,4.862,
Andean & Southern Cone-other,2006,bloc,32402476.0,241918498339.0,106.935,66.63000000000001,78.42,37.15,0.0,0.0,66.52,0.0,100.837,6.034,0.063,84.565,15.435,64.629,7705.43125,-41.27,9.75,52.662,1.533,86.065,26.293,168.461,6.33664179638823,2.097268113177285,71.77132746740085,71.50275,108.6206180632231,,,,,,9059350.29,72.85833333333333,7466.049765425333,241.918498339,32.402476,31932640098000.0,0.4107569302248822,0.9790273188682272,6.33664179638823,,,0.7660115911540547,1.124886832551418,0.0143233091605545,0.7151239225,72.85833333333333,0.0328,0.988,0.012,20.014,5.38,
Andean & Southern Cone-other,2007,bloc,32869283.0,252197123378.0,107.996,73.19,85.78,41.3,0.0,0.0,72.98,0.0,102.503,5.468,0.025,81.372,18.628,70.54825,7891.041,-44.48,10.48,57.134,1.56275,87.05599999999998,27.177,207.926,6.4857584313980565,2.143549545939835,70.7810205378972,71.78299999999999,110.30895220910516,,,,,,10016339.5,94.55833333333334,7672.729684368229,252.197123378,32.869283,32392678396500.0,0.414812248144109,0.9785645045406016,6.4857584313980565,,,0.7652795654257009,1.1255757656145609,0.0143233091605545,0.6621402384,94.55833333333334,0.0327,0.9849,0.0151,20.799,5.459,
Andean & Southern Cone-other,2008,bloc,33341821.0,269471997169.0,110.878,74.38,88.64,43.74,0.0,0.0,73.43,0.0,105.6,4.988,0.29,78.451,21.549,65.375,8822.88025,-44.9,11.78,56.004000000000005,1.666,88.574,26.436,209.511,7.100066914552613,2.189763583364165,75.86074673136622,72.08250000000001,100.19489165094768,,,,,,10726764.5,117.74166666666667,8082.10196944552,269.471997169,33.341821,32858364595500.0,0.4084843949766629,0.9781023641663584,7.100066914552613,,,0.7567884035232545,1.126940339898152,0.0143233091605545,0.6154559400999999,117.74166666666667,0.0339,1.0211,-0.0211,22.987,5.814,
Andean & Southern Cone-other,2009,bloc,33823575.0,272401119229.0,113.341,72.35000000000001,87.97999999999999,45.27,0.0,0.04,71.4,0.0,107.393,5.879,0.069,81.989,18.011,64.09825,8796.420750000001,-42.71,12.66,59.963,1.7135000000000002,90.725,26.611,189.159,7.6634028217075105,2.231758734917368,62.55270527658176,72.37725,88.70254266782476,,,,,,11743091.97,91.8,8053.587452804738,272.401119229,33.823575,33333133162500.0,0.3978422433335818,0.9776824126508264,7.6634028217075105,,,0.7703340659500455,1.1268452915093492,0.0143233091605545,0.6722196121,91.8,0.0324,0.9759,0.0241,24.152,5.779,
