node,food_security,FS_index,CC_index,food_stress_pct,energy_pct,contagion_pct,reserve_failure_pct,overload_ratio,scenario
South Asia-other,0.456,0.597,0.091,67.1,6.4,19.2,7.4,6.552,S0_baseline
Pakistan,0.502,0.559,0.168,59.0,8.6,16.9,15.5,3.333,S0_baseline
Saudi Arabia,0.283,0.804,0.278,61.4,8.6,17.5,12.4,2.894,S0_baseline
United Kingdom,0.68,0.368,0.408,61.8,12.2,17.7,8.3,0.902,S0_baseline
Egypt,0.825,0.229,0.268,53.5,27.8,15.3,3.4,0.855,S0_baseline
South Asia-other,0.457,0.596,0.092,67.1,6.4,19.2,7.3,6.496,S1_climate_cascade
Pakistan,0.505,0.556,0.171,64.1,9.4,18.3,8.2,3.249,S1_climate_cascade
Saudi Arabia,0.289,0.797,0.282,67.2,9.5,19.2,4.0,2.829,S1_climate_cascade
United Kingdom,0.685,0.362,0.411,61.3,12.3,17.5,8.9,0.881,S1_climate_cascade
Egypt,0.825,0.229,0.268,53.6,27.8,15.3,3.2,0.855,S1_climate_cascade
South Asia-other,0.456,0.597,0.091,67.1,6.4,19.2,7.4,6.552,S2_geopolitical_freeze
Pakistan,0.502,0.559,0.168,59.0,8.6,16.9,15.5,3.333,S2_geopolitical_freeze
Saudi Arabia,0.283,0.804,0.278,61.4,8.6,17.5,12.4,2.894,S2_geopolitical_freeze
United Kingdom,0.68,0.368,0.408,61.8,12.2,17.7,8.3,0.902,S2_geopolitical_freeze
Egypt,0.825,0.229,0.268,53.5,27.8,15.3,3.4,0.855,S2_geopolitical_freeze
South Asia-other,0.456,0.597,0.091,67.2,6.4,19.2,7.3,6.56,S3_reserve_mandate
Pakistan,0.498,0.563,0.162,64.2,9.3,18.4,8.1,3.486,S3_reserve_mandate
Saudi Arabia,0.286,0.801,0.279,61.7,8.7,17.6,12.0,2.865,S3_reserve_mandate
South Asia-other,0.455,0.598,0.091,66.8,6.3,19.1,7.8,6.567,S4_trade_diversification
Pakistan,0.506,0.555,0.166,64.2,9.4,18.3,8.0,3.348,S4_trade_diversification
Saudi Arabia,0.297,0.788,0.287,66.0,9.5,18.9,5.7,2.743,S4_trade_diversification
United Kingdom,0.685,0.362,0.411,62.3,12.5,17.8,7.4,0.881,S4_trade_diversification
South Asia-other,0.468,0.584,0.1,68.0,6.6,19.4,6.0,5.86,S5_transformational
Pakistan,0.498,0.563,0.16,63.6,9.2,18.2,9.1,3.522,S5_transformational
Saudi Arabia,0.291,0.795,0.284,63.7,9.1,18.2,9.0,2.802,S5_transformational
United Kingdom,0.685,0.362,0.411,61.5,12.3,17.6,8.6,0.881,S5_transformational
