node,type,S1_chi_2006,S1_chi_2007,S1_chi_2008,S1_chi_2009,S3_chi_2021,S3_chi_2022,S3_chi_2023
United States,Hub,0.9953,1.042,1.0233,1.1213,1.0204,0.9981,1.0316
China,Hub,1.019,1.019,1.0589,1.0399,1.0063,1.0174,1.0222
India,Hub,1.0212,1.0763,1.1059,1.072,1.0383,1.0472,1.0619
Brazil,Hub,1.113,1.2226,1.3151,1.2158,0.8459,0.9262,1.0103
Russia,Hub,1.0054,1.0598,1.2663,1.1957,0.954,1.1971,1.105
Ukraine,Hub,0.9339,0.8471,1.2934,1.1364,1.1558,0.9774,1.1583
Argentina,Hub,0.866,0.9974,0.9072,0.8711,1.0402,0.9257,0.761
Australia,Hub,0.5166,0.5829,0.8152,0.8104,1.3459,1.5718,1.2894
Canada,Hub,0.9485,0.9242,1.0485,1.0152,0.7763,1.0109,0.9335
France,Hub,0.9764,0.9513,1.0472,1.0605,1.0415,0.9481,1.0415
Indonesia,Hub,1.0139,1.0232,1.0905,1.116,1.0085,1.0218,1.0275
Vietnam,Hub,1.0042,1.0254,1.0359,1.074,1.033,1.0243,1.0417
Thailand,Hub,1.0,1.0066,1.0231,1.0165,1.0,1.0163,1.0163
Egypt,Hub,0.9974,0.9881,0.9947,0.9537,1.1111,1.0691,1.1111
Nigeria,Hub,1.0629,0.986,1.1189,1.0769,0.9969,1.0214,0.9541
Bangladesh,Hub,1.0137,1.0328,1.1339,1.1284,1.0174,1.0441,1.0913
Pakistan,Hub,0.973,1.0463,1.0116,1.0656,1.0724,1.0663,1.1156
Germany,Hub,0.9575,0.932,1.068,1.0652,0.9966,1.002,0.998
Japan,Hub,0.9506,0.9857,1.0207,0.9634,1.0255,1.0101,0.9992
United Kingdom,Hub,1.0138,0.9242,1.0344,0.9793,0.9794,1.081,1.0069
Saudi Arabia,Hub,1.0632,1.0779,1.0989,1.0253,0.9469,1.0039,1.0728
West Africa (ECOWAS),Bloc,1.0,0.9333,1.0667,1.1222,0.9544,1.0456,1.0207
East Africa,Bloc,1.1484,1.1797,1.0938,1.2344,1.0497,1.0311,1.0
Southern Africa (SADC),Bloc,0.8326,0.7854,1.2232,1.1116,1.1418,1.0821,1.1418
Central Africa,Bloc,1.0211,1.0316,1.0316,1.0211,1.0,0.9714,0.981
MENA-other,Bloc,1.2,1.0452,0.8323,1.1871,0.9806,0.9029,1.0194
Central Asia,Bloc,1.102,1.1088,0.9116,1.0884,0.8963,1.0793,0.9024
South Asia-other,Bloc,0.9462,1.0404,1.0045,1.0673,1.0033,0.9565,1.0301
Southeast Asia-other,Bloc,1.0286,1.0698,1.0825,1.0825,1.0177,1.0259,1.0341
Pacific/Oceania-other,Bloc,0.9434,1.0662,0.9903,0.9462,1.024,0.9736,0.983
Caribbean & Central America,Bloc,1.0683,1.0244,1.0244,0.9805,0.9697,0.9221,0.9091
Andean & Southern Cone-other,Bloc,0.988,0.9849,1.0211,0.9759,0.9988,0.9246,0.9581
Eastern Europe-other,Bloc,0.9265,0.7533,1.0656,0.979,1.0592,0.8796,1.0041
EU-other,Bloc,1.0871,1.2084,1.1926,1.0923,1.0143,0.8753,0.7873
Nordics,Bloc,0.9382,0.9749,0.9961,1.0772,0.8626,1.014,0.7704
